epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0546,2.2553,4.19671,2.0188,0.00692,0.54,0.07871,0.02955,2.65486,5.40963,2.48328,0.00024,0.00024,0.00024
2,125.218,2.11273,3.88731,1.74469,0.00974,0.76,0.21935,0.07553,2.25648,4.97036,1.97692,0.000493813,0.000493813,0.000493813
3,186.653,1.97001,3.8001,1.695,0.01026,0.8,0.22918,0.09881,1.98872,4.69433,1.74425,0.00074119,0.00074119,0.00074119
4,247.645,1.83961,3.73836,1.59912,0.03574,0.68,0.21448,0.09525,2.01009,4.78825,1.67982,0.000982133,0.000982133,0.000982133
